model,displ,cyl,trans,drive,fuel,cert_region,veh_class,air_pollution_score,city_mpg,hwy_mpg,cmb_mpg,greenhouse_gas_score,smartway,file_name
AUDI A6,4.2,8,Auto-S6,4WD,Gasoline,FA,midsize car,6.0,16.0,23.0,18.0,5,no,08
AUDI A6,4.2,8,Auto-S6,4WD,Gasoline,CA,midsize car,6.0,16.0,23.0,18.0,5,no,08
AUDI A6 Avant,3.1,6,Auto-S6,4WD,Gasoline,FA,station wagon,6.0,17.0,25.0,20.0,6,no,08
AUDI A6 Avant,3.1,6,Auto-S6,4WD,Gasoline,CA,station wagon,6.0,17.0,25.0,20.0,6,no,08
AUDI A8,4.2,8,Auto-S6,4WD,Gasoline,FA,midsize car,6.0,16.0,23.0,18.0,5,no,08
AUDI A8,4.2,8,Auto-S6,4WD,Gasoline,CA,midsize car,6.0,16.0,23.0,18.0,5,no,08
AUDI A8 L,4.2,8,Auto-S6,4WD,Gasoline,FA,large car,6.0,16.0,23.0,18.0,5,no,08
AUDI A8 L,4.2,8,Auto-S6,4WD,Gasoline,CA,large car,6.0,16.0,23.0,18.0,5,no,08
AUDI A8 L,6.0,12,Auto-S6,4WD,Gasoline,FA,large car,6.0,13.0,19.0,15.0,3,no,08
AUDI A8 L,6.0,12,Auto-S6,4WD,Gasoline,CA,large car,6.0,13.0,19.0,15.0,3,no,08
AUDI Q7,3.6,6,Auto-S6,4WD,Gasoline,FA,SUV,6.0,14.0,20.0,16.0,4,no,08
AUDI Q7,3.6,6,Auto-S6,4WD,Gasoline,CA,SUV,6.0,14.0,20.0,16.0,4,no,08
AUDI Q7,4.2,8,Auto-S6,4WD,Gasoline,FA,SUV,6.0,12.0,17.0,14.0,2,no,08
AUDI Q7,4.2,8,Auto-S6,4WD,Gasoline,CA,SUV,6.0,12.0,17.0,14.0,2,no,08
AUDI R8,4.2,8,Auto-S6,4WD,Gasoline,FA,small car,6.0,13.0,19.0,15.0,3,no,08
AUDI R8,4.2,8,Man-6,4WD,Gasoline,FA,small car,6.0,13.0,20.0,15.0,3,no,08
AUDI R8,4.2,8,Auto-S6,4WD,Gasoline,CA,small car,6.0,13.0,19.0,15.0,3,no,08
AUDI R8,4.2,8,Man-6,4WD,Gasoline,CA,small car,6.0,13.0,20.0,15.0,3,no,08
AUDI RS4,4.2,8,Man-6,4WD,Gasoline,FA,small car,6.0,13.0,20.0,15.0,3,no,08
