model,displ,cyl,trans,drive,fuel,cert_region,veh_class,air_pollution_score,city_mpg,hwy_mpg,cmb_mpg,greenhouse_gas_score,smartway,file_name
LEXUS RX 350,3.5,6,Auto-S5,4WD,Gasoline,FA,SUV,6.0,17.0,22.0,19.0,5,no,08
LEXUS RX 400H,3.3,6,Auto-AV,2WD,Gasoline,CA,SUV,9.0,27.0,24.0,25.0,7,yes,08
LEXUS RX 400H,3.3,6,Auto-AV,4WD,Gasoline,CA,SUV,9.0,26.0,24.0,25.0,7,yes,08
LEXUS RX 400H,3.3,6,Auto-AV,2WD,Gasoline,FA,SUV,8.0,27.0,24.0,25.0,7,yes,08
LEXUS RX 400H,3.3,6,Auto-AV,4WD,Gasoline,FA,SUV,8.0,26.0,24.0,25.0,7,yes,08
LEXUS SC 430,4.3,8,Auto-S6,2WD,Gasoline,CA,small car,6.0,16.0,23.0,19.0,5,no,08
LEXUS SC 430,4.3,8,Auto-S6,2WD,Gasoline,FA,small car,3.0,16.0,23.0,19.0,5,no,08
LINCOLN MKX,3.5,6,Auto-L6,2WD,Gasoline,CA,SUV,7.0,16.0,24.0,19.0,5,no,08
LINCOLN MKX,3.5,6,Auto-L6,4WD,Gasoline,CA,SUV,7.0,15.0,22.0,18.0,5,no,08
LINCOLN MKX,3.5,6,Auto-L6,2WD,Gasoline,FA,SUV,6.0,16.0,24.0,19.0,5,no,08
LINCOLN MKX,3.5,6,Auto-L6,4WD,Gasoline,FA,SUV,6.0,15.0,22.0,18.0,5,no,08
LINCOLN MKZ,3.5,6,Auto-L6,4WD,Gasoline,CA,midsize car,7.0,17.0,24.0,19.0,5,no,08
LINCOLN MKZ,3.5,6,Auto-L6,2WD,Gasoline,CA,midsize car,7.0,18.0,28.0,22.0,6,yes,08
LINCOLN MKZ,3.5,6,Auto-L6,4WD,Gasoline,FA,midsize car,6.0,17.0,24.0,19.0,5,no,08
LINCOLN MKZ,3.5,6,Auto-L6,2WD,Gasoline,FA,midsize car,6.0,18.0,28.0,22.0,6,no,08
LINCOLN Mark LT,5.4,8,Auto-L4,2WD,Gasoline,FA,pickup,7.0,12.0,16.0,14.0,2,no,08
LINCOLN Mark LT,5.4,8,Auto-L4,4WD,Gasoline,FA,pickup,7.0,13.0,17.0,14.0,2,no,08
LINCOLN Mark LT,5.4,8,Auto-L4,2WD,Gasoline,CA,pickup,7.0,12.0,16.0,14.0,2,no,08
LINCOLN Mark LT,5.4,8,Auto-L4,4WD,Gasoline,CA,pickup,7.0,13.0,17.0,14.0,2,no,08
LINCOLN Mark LT,5.4,8,Auto-L4,2WD,Gasoline,FA,pickup,3.0,12.0,16.0,14.0,2,no,08
LINCOLN Mark LT,5.4,8,Auto-L4,4WD,Gasoline,FA,pickup,3.0,13.0,17.0,14.0,2,no,08
LINCOLN Navigator,5.4,8,Auto-L6,2WD,Gasoline,CA,SUV,7.0,12.0,18.0,14.0,2,no,08
LINCOLN Navigator,5.4,8,Auto-L6,2WD,Gasoline,FA,SUV,6.0,12.0,18.0,14.0,2,no,08
LOTUS Elise,1.8,4,Man-6,2WD,Gasoline,FA,small car,6.0,20.0,26.0,22.0,6,no,08
LOTUS Elise,1.8,4,Man-6,2WD,Gasoline,FA,small car,6.0,21.0,27.0,23.0,7,no,08
LOTUS Elise,1.8,4,Man-6,2WD,Gasoline,CA,small car,6.0,20.0,26.0,22.0,6,no,08
LOTUS Elise,1.8,4,Man-6,2WD,Gasoline,CA,small car,6.0,21.0,27.0,23.0,7,no,08
LOTUS Exige,1.8,4,Man-6,2WD,Gasoline,FA,small car,6.0,20.0,26.0,22.0,6,no,08
LOTUS Exige,1.8,4,Man-6,2WD,Gasoline,FA,small car,6.0,21.0,27.0,23.0,7,no,08
LOTUS Exige,1.8,4,Man-6,2WD,Gasoline,CA,small car,6.0,20.0,26.0,22.0,6,no,08
LOTUS Exige,1.8,4,Man-6,2WD,Gasoline,CA,small car,6.0,21.0,27.0,23.0,7,no,08
MASERATI Granturismo,4.2,8,Auto-6,2WD,Gasoline,FA,small car,6.0,14.0,21.0,17.0,4,no,08
MASERATI Granturismo,4.2,8,Auto-6,2WD,Gasoline,CA,small car,6.0,14.0,21.0,17.0,4,no,08
MASERATI Quattroporte,4.2,8,Auto-6,2WD,Gasoline,FA,large car,6.0,13.0,19.0,15.0,3,no,08
MASERATI Quattroporte,4.2,8,Auto-6,2WD,Gasoline,CA,large car,6.0,13.0,19.0,15.0,3,no,08
MAZDA 3,2.0,4,Auto-S4,2WD,Gasoline,CA,small car,9.5,23.0,31.0,26.0,8,yes,08
MAZDA 3,2.0,4,Man-5,2WD,Gasoline,CA,small car,9.5,24.0,32.0,27.0,8,yes,08
MAZDA 3,2.3,4,Auto-S5,2WD,Gasoline,CA,small car,9.5,22.0,29.0,24.0,7,yes,08
MAZDA 3,2.3,4,Man-5,2WD,Gasoline,CA,small car,9.5,22.0,29.0,25.0,7,yes,08
MAZDA 3,2.3,4,Man-6,2WD,Gasoline,CA,midsize car,7.0,18.0,26.0,20.0,6,yes,08
MAZDA 3,2.0,4,Auto-S4,2WD,Gasoline,FA,small car,6.0,23.0,31.0,26.0,8,yes,08
MAZDA 3,2.0,4,Man-5,2WD,Gasoline,FA,small car,6.0,24.0,32.0,27.0,8,yes,08
MAZDA 3,2.3,4,Man-6,2WD,Gasoline,FA,midsize car,6.0,18.0,26.0,20.0,6,no,08
MAZDA 3,2.3,4,Auto-S5,2WD,Gasoline,FA,small car,6.0,22.0,29.0,24.0,7,yes,08
MAZDA 3,2.3,4,Man-5,2WD,Gasoline,FA,small car,6.0,22.0,29.0,25.0,7,yes,08
MAZDA 5,2.3,4,Auto-S5,2WD,Gasoline,FA,minivan,6.0,21.0,27.0,23.0,7,yes,08
MAZDA 5,2.3,4,Man-5,2WD,Gasoline,FA,minivan,6.0,22.0,28.0,24.0,7,yes,08
MAZDA 5,2.3,4,Auto-S5,2WD,Gasoline,CA,minivan,6.0,21.0,27.0,23.0,7,yes,08
MAZDA 5,2.3,4,Man-5,2WD,Gasoline,CA,minivan,6.0,22.0,28.0,24.0,7,yes,08
MAZDA 6,2.3,4,Auto-S5,2WD,Gasoline,CA,midsize car,9.5,21.0,28.0,24.0,7,yes,08
MAZDA 6,3.0,6,Man-5,2WD,Gasoline,CA,midsize car,7.0,17.0,25.0,20.0,6,yes,08
MAZDA 6,3.0,6,Auto-S6,2WD,Gasoline,CA,midsize car,7.0,18.0,25.0,20.0,6,yes,08
MAZDA 6,2.3,4,Auto-S5,2WD,Gasoline,FA,midsize car,6.0,21.0,28.0,24.0,7,yes,08
MAZDA 6,2.3,4,Man-5,2WD,Gasoline,FA,midsize car,6.0,21.0,29.0,24.0,7,yes,08
MAZDA 6,2.3,4,Auto-S5,2WD,Gasoline,CA,midsize car,6.0,21.0,28.0,24.0,7,yes,08
MAZDA 6,2.3,4,Man-5,2WD,Gasoline,CA,midsize car,6.0,21.0,29.0,24.0,7,yes,08
MAZDA 6,3.0,6,Man-5,2WD,Gasoline,FA,midsize car,6.0,17.0,25.0,20.0,6,no,08
MAZDA 6,3.0,6,Auto-S6,2WD,Gasoline,FA,midsize car,6.0,18.0,25.0,20.0,6,no,08
MAZDA B2300,2.3,4,Auto-L5,2WD,Gasoline,CA,pickup,7.0,19.0,24.0,21.0,6,yes,08
MAZDA B2300,2.3,4,Man-5,2WD,Gasoline,CA,pickup,7.0,21.0,26.0,23.0,7,yes,08
MAZDA B2300,2.3,4,Auto-L5,2WD,Gasoline,FA,pickup,6.0,19.0,24.0,21.0,6,no,08
MAZDA B2300,2.3,4,Man-5,2WD,Gasoline,FA,pickup,6.0,21.0,26.0,23.0,7,yes,08
MAZDA B3000,3.0,6,Auto-L5,2WD,Gasoline,CA,pickup,7.0,15.0,20.0,17.0,4,no,08
MAZDA B3000,3.0,6,Auto-L5,2WD,Gasoline,FA,pickup,6.0,15.0,20.0,17.0,4,no,08
MAZDA B3000,3.0,6,Man-5,2WD,Gasoline,FA,pickup,6.0,16.0,21.0,18.0,5,no,08
MAZDA B4000,4.0,6,Auto-L5,2WD,Gasoline,FA,pickup,6.0,15.0,20.0,17.0,4,no,08
MAZDA B4000,4.0,6,Auto-L5,4WD,Gasoline,FA,pickup,6.0,14.0,17.0,15.0,3,no,08
MAZDA B4000,4.0,6,Man-5,4WD,Gasoline,FA,pickup,6.0,15.0,19.0,16.0,4,no,08
MAZDA B4000,4.0,6,Auto-L5,2WD,Gasoline,CA,pickup,6.0,15.0,20.0,17.0,4,no,08
MAZDA B4000,4.0,6,Auto-L5,4WD,Gasoline,CA,pickup,6.0,14.0,17.0,15.0,3,no,08
MAZDA B4000,4.0,6,Man-5,4WD,Gasoline,CA,pickup,6.0,15.0,19.0,16.0,4,no,08
MAZDA CX-7,2.3,4,Auto-S6,2WD,Gasoline,FA,SUV,6.0,17.0,23.0,19.0,5,no,08
MAZDA CX-7,2.3,4,Auto-S6,4WD,Gasoline,FA,SUV,6.0,16.0,22.0,18.0,5,no,08
MAZDA CX-7,2.3,4,Auto-S6,2WD,Gasoline,CA,SUV,6.0,17.0,23.0,19.0,5,no,08
MAZDA CX-7,2.3,4,Auto-S6,4WD,Gasoline,CA,SUV,6.0,16.0,22.0,18.0,5,no,08
MAZDA CX-9,3.7,6,Auto-S6,2WD,Gasoline,CA,SUV,7.0,16.0,22.0,18.0,5,no,08
MAZDA CX-9,3.7,6,Auto-S6,4WD,Gasoline,CA,SUV,7.0,15.0,21.0,17.0,4,no,08
MAZDA CX-9,3.7,6,Auto-S6,2WD,Gasoline,FA,SUV,6.0,16.0,22.0,18.0,5,no,08
MAZDA CX-9,3.7,6,Auto-S6,4WD,Gasoline,FA,SUV,6.0,15.0,21.0,17.0,4,no,08
MAZDA MX-5,2.0,4,Auto-S6,2WD,Gasoline,CA,small car,7.0,20.0,27.0,23.0,7,yes,08
MAZDA MX-5,2.0,4,Man-6,2WD,Gasoline,CA,small car,7.0,21.0,28.0,24.0,7,yes,08
MAZDA MX-5,2.0,4,Man-5,2WD,Gasoline,CA,small car,7.0,22.0,27.0,24.0,7,yes,08
MAZDA MX-5,2.0,4,Auto-S6,2WD,Gasoline,FA,small car,6.0,20.0,27.0,23.0,7,yes,08
MAZDA MX-5,2.0,4,Man-6,2WD,Gasoline,FA,small car,6.0,21.0,28.0,24.0,7,yes,08
MAZDA MX-5,2.0,4,Man-5,2WD,Gasoline,FA,small car,6.0,22.0,27.0,24.0,7,yes,08
MAZDA RX-8,1.3,2,Man-6,2WD,Gasoline,FA,small car,6.0,16.0,22.0,18.0,5,no,08
MAZDA RX-8,1.3,2,Auto-S6,2WD,Gasoline,FA,small car,6.0,16.0,23.0,19.0,5,no,08
MAZDA RX-8,1.3,2,Man-6,2WD,Gasoline,CA,small car,6.0,16.0,22.0,18.0,5,no,08
MAZDA RX-8,1.3,2,Auto-S6,2WD,Gasoline,CA,small car,6.0,16.0,23.0,19.0,5,no,08
MAZDA Tribute,2.3,4,Man-5,2WD,Gasoline,CA,SUV,7.0,22.0,28.0,24.0,7,yes,08
MAZDA Tribute,2.3,4,Auto-L4,2WD,Gasoline,FA,SUV,6.0,20.0,26.0,22.0,6,no,08
MAZDA Tribute,2.3,4,Man-5,2WD,Gasoline,FA,SUV,6.0,22.0,28.0,24.0,7,yes,08
MAZDA Tribute,2.3,4,Auto-L4,4WD,Gasoline,FA,SUV,6.0,19.0,24.0,21.0,6,no,08
MAZDA Tribute,2.3,4,Auto-L4,2WD,Gasoline,CA,SUV,6.0,20.0,26.0,22.0,6,no,08
MAZDA Tribute,2.3,4,Auto-L4,4WD,Gasoline,CA,SUV,6.0,19.0,24.0,21.0,6,no,08
MAZDA Tribute,3.0,6,Auto-L4,2WD,Gasoline,FA,SUV,6.0,18.0,24.0,20.0,6,no,08
MAZDA Tribute,3.0,6,Auto-L4,4WD,Gasoline,FA,SUV,6.0,17.0,22.0,19.0,5,no,08
MAZDA Tribute,3.0,6,Auto-L4,2WD,Gasoline,CA,SUV,6.0,18.0,24.0,20.0,6,no,08
MAZDA Tribute,3.0,6,Auto-L4,4WD,Gasoline,CA,SUV,6.0,17.0,22.0,19.0,5,no,08
MAZDA Tribute Hybrid,2.3,4,Auto-AV,2WD,Gasoline,CA,SUV,9.5,34.0,30.0,32.0,9,yes,08
MAZDA Tribute Hybrid,2.3,4,Auto-AV,4WD,Gasoline,CA,SUV,9.5,29.0,27.0,28.0,8,yes,08
MAZDA Tribute Hybrid,2.3,4,Auto-AV,2WD,Gasoline,FA,SUV,8.0,34.0,30.0,32.0,9,yes,08
MAZDA Tribute Hybrid,2.3,4,Auto-AV,4WD,Gasoline,FA,SUV,8.0,29.0,27.0,28.0,8,yes,08
MERCEDES-BENZ C300,3.0,6,Man-6,2WD,Gasoline,FC,small car,7.0,18.0,26.0,21.0,6,yes,08
MERCEDES-BENZ C350,3.5,6,Auto-L7,2WD,Gasoline,FC,small car,7.0,17.0,25.0,20.0,6,yes,08
MERCEDES-BENZ CL550,5.5,8,Auto-L7,2WD,Gasoline,CA,small car,7.0,14.0,21.0,17.0,4,no,08
MERCEDES-BENZ CL550,5.5,8,Auto-L7,2WD,Gasoline,FA,small car,6.0,14.0,21.0,17.0,4,no,08
MERCEDES-BENZ CL600,5.5,12,Auto-L5,2WD,Gasoline,FA,small car,6.0,11.0,17.0,13.0,1,no,08
MERCEDES-BENZ CL600,5.5,12,Auto-L5,2WD,Gasoline,CA,small car,6.0,11.0,17.0,13.0,1,no,08
MERCEDES-BENZ CL63 AMG,6.2,8,Auto-S7,2WD,Gasoline,FA,small car,6.0,11.0,18.0,14.0,2,no,08
MERCEDES-BENZ CL63 AMG,6.2,8,Auto-S7,2WD,Gasoline,CA,small car,6.0,11.0,18.0,14.0,2,no,08
MERCEDES-BENZ CL65 AMG,5.5,12,Auto-S5,2WD,Gasoline,FA,small car,6.0,11.0,17.0,13.0,1,no,08
MERCEDES-BENZ CL65 AMG,5.5,12,Auto-S5,2WD,Gasoline,CA,small car,6.0,11.0,17.0,13.0,1,no,08
MERCEDES-BENZ CLK350,3.5,6,Auto-L7,2WD,Gasoline,FC,small car,7.0,17.0,25.0,20.0,6,yes,08
MERCEDES-BENZ CLK350 Cabriolet,3.5,6,Auto-L7,2WD,Gasoline,FC,small car,7.0,17.0,25.0,20.0,6,yes,08
MERCEDES-BENZ CLK550,5.5,8,Auto-L7,2WD,Gasoline,FC,small car,7.0,15.0,22.0,17.0,4,no,08
MERCEDES-BENZ CLK550 Cabriolet,5.5,8,Auto-L7,2WD,Gasoline,FC,small car,7.0,15.0,21.0,17.0,4,no,08
MERCEDES-BENZ CLK63 AMG,6.2,8,Auto-S7,2WD,Gasoline,FA,small car,6.0,12.0,19.0,14.0,2,no,08
MERCEDES-BENZ CLK63 AMG,6.2,8,Auto-S7,2WD,Gasoline,CA,small car,6.0,12.0,19.0,14.0,2,no,08
MERCEDES-BENZ CLK63 AMG Cabriolet,6.2,8,Auto-S7,2WD,Gasoline,FA,small car,6.0,12.0,18.0,14.0,2,no,08
MERCEDES-BENZ CLK63 AMG Cabriolet,6.2,8,Auto-S7,2WD,Gasoline,CA,small car,6.0,12.0,18.0,14.0,2,no,08
MERCEDES-BENZ CLS550,5.5,8,Auto-L7,2WD,Gasoline,FC,small car,7.0,14.0,21.0,16.0,4,no,08
MERCEDES-BENZ CLS63 AMG,6.2,8,Auto-S7,2WD,Gasoline,FA,small car,6.0,12.0,18.0,14.0,2,no,08
MERCEDES-BENZ CLS63 AMG,6.2,8,Auto-S7,2WD,Gasoline,CA,small car,6.0,12.0,18.0,14.0,2,no,08
MERCEDES-BENZ E320 Bluetec,3.0,6,Auto-L7,2WD,diesel,FA,midsize car,3.0,23.0,32.0,26.0,7,no,08
MERCEDES-BENZ E350,3.5,6,Auto-L7,2WD,Gasoline,CA,midsize car,9.5,17.0,24.0,19.0,5,no,08
MERCEDES-BENZ E350,3.5,6,Auto-L7,2WD,Gasoline,FC,midsize car,7.0,17.0,24.0,19.0,5,no,08
MERCEDES-BENZ E350,3.5,6,Auto-L7,2WD,Gasoline,FA,midsize car,7.0,17.0,24.0,19.0,5,no,08
MERCEDES-BENZ E550,5.5,8,Auto-L7,2WD,Gasoline,FC,midsize car,7.0,15.0,22.0,17.0,4,no,08
MERCEDES-BENZ E550 4Matic,5.5,8,Auto-L7,4WD,Gasoline,CA,midsize car,7.0,13.0,19.0,16.0,4,no,08
MERCEDES-BENZ E550 4Matic,5.5,8,Auto-L7,4WD,Gasoline,FA,midsize car,6.0,13.0,19.0,16.0,4,no,08
MERCEDES-BENZ E63 AMG,6.2,8,Auto-S7,2WD,Gasoline,FA,midsize car,6.0,12.0,19.0,15.0,3,no,08
MERCEDES-BENZ E63 AMG,6.2,8,Auto-S7,2WD,Gasoline,CA,midsize car,6.0,12.0,19.0,15.0,3,no,08
MERCEDES-BENZ E63 AMG Wagon,6.2,8,Auto-S7,2WD,Gasoline,FA,station wagon,6.0,12.0,18.0,14.0,2,no,08
MERCEDES-BENZ E63 AMG Wagon,6.2,8,Auto-S7,2WD,Gasoline,CA,station wagon,6.0,12.0,18.0,14.0,2,no,08
MERCEDES-BENZ G500,5.0,8,Auto-L7,4WD,Gasoline,FA,SUV,6.0,12.0,15.0,13.0,1,no,08
MERCEDES-BENZ G500,5.0,8,Auto-L7,4WD,Gasoline,CA,SUV,6.0,12.0,15.0,13.0,1,no,08
MERCEDES-BENZ G55 AMG,5.4,8,Auto-L5,4WD,Gasoline,FA,SUV,6.0,11.0,13.0,12.0,0,no,08
MERCEDES-BENZ G55 AMG,5.4,8,Auto-L5,4WD,Gasoline,CA,SUV,6.0,11.0,13.0,12.0,0,no,08
MERCEDES-BENZ GL320 CDI 4Matic,3.0,6,Auto-L7,4WD,diesel,FA,SUV,1.0,18.0,24.0,20.0,4,no,08
MERCEDES-BENZ GL450 4Matic,4.6,8,Auto-L7,4WD,Gasoline,CA,SUV,7.0,13.0,18.0,15.0,3,no,08
MERCEDES-BENZ GL450 4Matic,4.6,8,Auto-L7,4WD,Gasoline,FA,SUV,6.0,13.0,18.0,15.0,3,no,08
MERCEDES-BENZ GL550 4Matic,5.5,8,Auto-L7,4WD,Gasoline,CA,SUV,7.0,13.0,17.0,14.0,2,no,08
MERCEDES-BENZ GL550 4Matic,5.5,8,Auto-L7,4WD,Gasoline,FA,SUV,6.0,13.0,17.0,14.0,2,no,08
MERCEDES-BENZ ML320 CDI 4Matic,3.0,6,Auto-L7,4WD,diesel,FA,SUV,1.0,18.0,24.0,21.0,5,no,08
MERCEDES-BENZ ML350 4Matic,3.5,6,Auto-L7,4WD,Gasoline,CA,SUV,7.0,15.0,20.0,17.0,4,no,08
MERCEDES-BENZ ML350 4Matic,3.5,6,Auto-L7,4WD,Gasoline,FA,SUV,6.0,15.0,20.0,17.0,4,no,08
MERCEDES-BENZ ML550 4Matic,5.5,8,Auto-L7,4WD,Gasoline,CA,SUV,7.0,13.0,18.0,15.0,3,no,08
MERCEDES-BENZ ML550 4Matic,5.5,8,Auto-L7,4WD,Gasoline,FA,SUV,6.0,13.0,18.0,15.0,3,no,08
MERCEDES-BENZ Maybach 57,5.5,12,Auto-L5,2WD,Gasoline,FA,large car,6.0,10.0,16.0,12.0,0,no,08
MERCEDES-BENZ Maybach 57,5.5,12,Auto-L5,2WD,Gasoline,CA,large car,6.0,10.0,16.0,12.0,0,no,08
MERCEDES-BENZ Maybach 57S,6.0,12,Auto-L5,2WD,Gasoline,FA,large car,6.0,10.0,16.0,12.0,0,no,08
MERCEDES-BENZ Maybach 57S,6.0,12,Auto-L5,2WD,Gasoline,CA,large car,6.0,10.0,16.0,12.0,0,no,08
MERCEDES-BENZ Maybach 62,5.5,12,Auto-L5,2WD,Gasoline,FA,large car,6.0,10.0,16.0,12.0,0,no,08
MERCEDES-BENZ Maybach 62,5.5,12,Auto-L5,2WD,Gasoline,CA,large car,6.0,10.0,16.0,12.0,0,no,08
MERCEDES-BENZ Maybach 62S,6.0,12,Auto-L5,2WD,Gasoline,FA,large car,6.0,10.0,16.0,12.0,0,no,08
MERCEDES-BENZ Maybach 62S,6.0,12,Auto-L5,2WD,Gasoline,CA,large car,6.0,10.0,16.0,12.0,0,no,08
MERCEDES-BENZ R320 CDI 4Matic,3.0,6,Auto-L7,4WD,diesel,FA,SUV,1.0,18.0,24.0,21.0,5,no,08
MERCEDES-BENZ R350,3.5,6,Auto-L7,2WD,Gasoline,CA,SUV,7.0,15.0,20.0,17.0,4,no,08
MERCEDES-BENZ R350,3.5,6,Auto-L7,2WD,Gasoline,FA,SUV,6.0,15.0,20.0,17.0,4,no,08
MERCEDES-BENZ R350 4Matic,3.5,6,Auto-L7,4WD,Gasoline,CA,SUV,7.0,15.0,19.0,16.0,4,no,08
MERCEDES-BENZ R350 4Matic,3.5,6,Auto-L7,4WD,Gasoline,FA,SUV,6.0,15.0,19.0,16.0,4,no,08
MERCEDES-BENZ S550,5.5,8,Auto-L7,2WD,Gasoline,CA,large car,7.0,14.0,21.0,16.0,4,no,08
MERCEDES-BENZ S550,5.5,8,Auto-L7,2WD,Gasoline,FA,large car,6.0,14.0,21.0,16.0,4,no,08
MERCEDES-BENZ S550 4Matic,5.5,8,Auto-L7,4WD,Gasoline,CA,large car,7.0,14.0,20.0,16.0,4,no,08
MERCEDES-BENZ S550 4Matic,5.5,8,Auto-L7,4WD,Gasoline,FA,large car,6.0,14.0,20.0,16.0,4,no,08
MERCEDES-BENZ S600,5.5,12,Auto-L5,2WD,Gasoline,FA,large car,6.0,11.0,17.0,13.0,1,no,08
MERCEDES-BENZ S600,5.5,12,Auto-L5,2WD,Gasoline,CA,large car,6.0,11.0,17.0,13.0,1,no,08
MERCEDES-BENZ S63 AMG,6.2,8,Auto-S7,2WD,Gasoline,FA,large car,6.0,11.0,17.0,13.0,1,no,08
MERCEDES-BENZ S63 AMG,6.2,8,Auto-S7,2WD,Gasoline,CA,large car,6.0,11.0,17.0,13.0,1,no,08
MERCEDES-BENZ S65 AMG,6.0,12,Auto-S5,2WD,Gasoline,FA,large car,6.0,11.0,17.0,13.0,1,no,08
MERCEDES-BENZ S65 AMG,6.0,12,Auto-S5,2WD,Gasoline,CA,large car,6.0,11.0,17.0,13.0,1,no,08
MERCEDES-BENZ SL55 AMG,5.4,8,Auto-S5,2WD,Gasoline,FA,small car,6.0,12.0,17.0,14.0,2,no,08
MERCEDES-BENZ SL55 AMG,5.4,8,Auto-S5,2WD,Gasoline,CA,small car,6.0,12.0,17.0,14.0,2,no,08
MERCEDES-BENZ SL550,5.5,8,Auto-L7,2WD,Gasoline,CA,small car,7.0,14.0,21.0,16.0,4,no,08
MERCEDES-BENZ SL550,5.5,8,Auto-L7,2WD,Gasoline,FA,small car,6.0,14.0,21.0,16.0,4,no,08
MERCEDES-BENZ SL600,5.5,12,Auto-L5,2WD,Gasoline,FA,small car,6.0,11.0,18.0,14.0,2,no,08
MERCEDES-BENZ SL600,5.5,12,Auto-L5,2WD,Gasoline,CA,small car,6.0,11.0,18.0,14.0,2,no,08
MERCEDES-BENZ SL65 AMG,6.0,12,Auto-S5,2WD,Gasoline,FA,small car,6.0,11.0,18.0,14.0,2,no,08
MERCEDES-BENZ SL65 AMG,6.0,12,Auto-S5,2WD,Gasoline,CA,small car,6.0,11.0,18.0,14.0,2,no,08
MERCEDES-BENZ SLK280,3.0,6,Man-6,2WD,Gasoline,FC,small car,7.0,17.0,25.0,20.0,6,yes,08
MERCEDES-BENZ SLK280,3.0,6,Auto-L7,2WD,Gasoline,FC,small car,7.0,18.0,24.0,20.0,6,yes,08
MERCEDES-BENZ SLK350,3.5,6,Man-6,2WD,Gasoline,FC,small car,7.0,16.0,23.0,19.0,5,no,08
MERCEDES-BENZ SLK350,3.5,6,Auto-L7,2WD,Gasoline,FC,small car,7.0,17.0,23.0,19.0,5,no,08
MERCEDES-BENZ SLK55 AMG,5.4,8,Auto-S7,2WD,Gasoline,FA,small car,6.0,14.0,20.0,16.0,4,no,08
MERCEDES-BENZ SLK55 AMG,5.4,8,Auto-S7,2WD,Gasoline,CA,small car,6.0,14.0,20.0,16.0,4,no,08
MERCEDES-BENZ SLR,5.4,8,Auto-S5,2WD,Gasoline,FA,small car,6.0,12.0,16.0,13.0,1,no,08
MERCEDES-BENZ SLR,5.4,8,Auto-S5,2WD,Gasoline,CA,small car,6.0,12.0,16.0,13.0,1,no,08
MERCURY Mariner,2.3,4,Auto-L4,2WD,Gasoline,FA,SUV,6.0,20.0,26.0,22.0,6,no,08
MERCURY Mariner,2.3,4,Auto-L4,4WD,Gasoline,FA,SUV,6.0,19.0,24.0,21.0,6,no,08
MERCURY Mariner,2.3,4,Auto-L4,2WD,Gasoline,CA,SUV,6.0,20.0,26.0,22.0,6,no,08
MERCURY Mariner,2.3,4,Auto-L4,4WD,Gasoline,CA,SUV,6.0,19.0,24.0,21.0,6,no,08
MERCURY Mariner,3.0,6,Auto-L4,2WD,Gasoline,FA,SUV,6.0,18.0,24.0,20.0,6,no,08
MERCURY Mariner,3.0,6,Auto-L4,4WD,Gasoline,FA,SUV,6.0,17.0,22.0,19.0,5,no,08
MERCURY Mariner,3.0,6,Auto-L4,2WD,Gasoline,CA,SUV,6.0,18.0,24.0,20.0,6,no,08
MERCURY Mariner,3.0,6,Auto-L4,4WD,Gasoline,CA,SUV,6.0,17.0,22.0,19.0,5,no,08
MERCURY Mariner Hybrid,2.3,4,Auto-AV,2WD,Gasoline,CA,SUV,9.5,34.0,30.0,32.0,9,yes,08
MERCURY Mariner Hybrid,2.3,4,Auto-AV,4WD,Gasoline,CA,SUV,9.5,29.0,27.0,28.0,8,yes,08
MERCURY Mariner Hybrid,2.3,4,Auto-AV,2WD,Gasoline,FA,SUV,8.0,34.0,30.0,32.0,9,yes,08
MERCURY Mariner Hybrid,2.3,4,Auto-AV,4WD,Gasoline,FA,SUV,8.0,29.0,27.0,28.0,8,yes,08
MERCURY Milan,2.3,4,Auto-L5,2WD,Gasoline,CA,midsize car,9.5,20.0,28.0,23.0,7,yes,08
MERCURY Milan,3.0,6,Auto-L6,4WD,Gasoline,CA,midsize car,7.0,17.0,25.0,20.0,6,yes,08
MERCURY Milan,3.0,6,Auto-L6,2WD,Gasoline,CA,midsize car,7.0,18.0,26.0,21.0,6,yes,08
MERCURY Milan,2.3,4,Auto-L5,2WD,Gasoline,FA,midsize car,6.0,20.0,28.0,23.0,7,yes,08
MERCURY Milan,2.3,4,Man-5,2WD,Gasoline,FA,midsize car,6.0,20.0,29.0,23.0,7,yes,08
MERCURY Milan,3.0,6,Auto-L6,4WD,Gasoline,FA,midsize car,6.0,17.0,25.0,20.0,6,no,08
MERCURY Milan,3.0,6,Auto-L6,2WD,Gasoline,FA,midsize car,6.0,18.0,26.0,21.0,6,no,08
MERCURY Mountaineer,4.0,6,Auto-L5,2WD,Gasoline,FA,SUV,7.0,14.0,20.0,16.0,4,no,08
MERCURY Mountaineer,4.0,6,Auto-L5,4WD,Gasoline,FA,SUV,7.0,13.0,19.0,15.0,3,no,08
MERCURY Mountaineer,4.0,6,Auto-L5,2WD,Gasoline,CA,SUV,7.0,14.0,20.0,16.0,4,no,08
MERCURY Mountaineer,4.0,6,Auto-L5,4WD,Gasoline,CA,SUV,7.0,13.0,19.0,15.0,3,no,08
MERCURY Mountaineer,4.6,8,Auto-L6,2WD,Gasoline,CA,SUV,7.0,13.0,20.0,16.0,4,no,08
MERCURY Mountaineer,4.6,8,Auto-L6,4WD,Gasoline,CA,SUV,7.0,13.0,19.0,15.0,3,no,08
MERCURY Mountaineer,4.6,8,Auto-L6,2WD,Gasoline,FA,SUV,6.0,13.0,20.0,16.0,4,no,08
